,Localitate,Categorie
43073,Dudesti,Femei_18-24
43117,Frecatei,Femei_18-24
43180,Galbenu,Barbati_18-24
43242,Gemenele,Barbati_18-24
43279,Gradistea,Barbati_35-44
43313,Gropeni,Femei_18-24
43331,Oras Ianca,Femei_18-24
43411,Oras Insuratei,Femei_18-24
43466,Jirlau,Barbati_18-24
43493,Marasu,Barbati_18-24
43563,Maxineni,Barbati_18-24
43625,Mircea Voda,Barbati_18-24
43652,Movila Miresii,Femei_18-24
43698,Racovita,Femei_18-24
43732,Ramnicelu,Femei_18-24
43787,Romanu,Barbati_25-34
43812,Rosiori,Barbati_18-24
43867,Salcia Tudor,Femei_18-24
43929,Scortaru Nou,Barbati_18-24
43992,Silistea,Barbati_18-24
44060,Stancuta,Femei_18-24
44113,Surdila-Gaiseanca,Femei_18-24
44140,Sutesti,Femei_18-24
44177,Tichilesti,Femei_18-24
44202,Traian,Femei_18-24
44257,Tudor Vladimirescu,Femei_18-24
44300,Tufesti,Femei_18-24
44328,Ulmu,Femei_18-24
44355,Unirea,Femei_18-24
44391,Vadeni,Barbati_18-24
44435,Victoria,Femei_18-24
44462,Visani,Femei_18-24
44505,Viziru,Femei_18-24
44532,Zavoaia,Femei_18-24
44560,Cazasu,Barbati_18-24
44818,Municipiul Buzau,Femei_18-24
44845,Municipiul Ramnicu Sarat,Femei_18-24
44863,Amaru,Barbati_18-24
44934,Balta Alba,Femei_18-24
44989,Balaceanu,Femei_25-34
45003,Beceni,Femei_18-24
45101,Berca,Femei_18-24
45245,Bisoca,Femei_18-24
45334,Blajani,Femei_18-24
45361,Boldu,Femei_18-24
45389,Bozioru,Femei_25-34
45496,Bradeanu,Femei_18-24
45539,Braesti,Femei_18-24
45619,Breaza,Femei_18-24
45673,Buda,Femei_18-24
45753,Calvini,Femei_18-24
45815,C.a. Rosetti,Femei_18-24
45888,Canesti,Barbati_18-24
45959,Catina,Femei_18-24
46019,Cernatesti,Femei_18-24
46108,Chiliile,Femei_18-24
46180,Chiojdu,Femei_18-24
46251,Cilibia,Barbati_18-24
46313,Cislau,Barbati_18-24
46377,Cochirleanca,Femei_25-34
46439,Colti,Femei_25-34
46484,Costesti,Femei_18-24
46554,Cozieni,Femei_18-24
46769,Galbinasi,Femei_18-24
46803,Gheraseni,Femei_25-34
46830,Ghergheasa,Femei_18-24
46867,Glodeanu Sarat,Femei_18-24
46910,Glodeanu-Silistea,Femei_18-24
47006,Grebanu,Femei_18-24
47079,Gura Teghii,Femei_18-24
47159,Largu,Femei_18-24
47186,Lopatari,Femei_18-24
47300,Luciu,Femei_18-24
47337,Magura,Barbati_18-24
47373,Maracineni,Femei_18-24
47417,Margaritesti,Femei_18-24
47453,Merei,Femei_18-24
47578,Mihailesti,Femei_18-24
47630,Manzalesti,Femei_18-24
47774,Movila Banului,Femei_18-24
47818,Murgesti,Femei_18-24
47854,Naeni,Femei_25-34
47916,Oras Nehoiu,Femei_18-24
48021,Odaile,Femei_25-34
48138,Padina,Femei_25-34
48165,Pardosi,Femei_18-24
48227,Panatau,Barbati_18-24
48325,Oras Patarlagele,Femei_18-24
48487,Pietroasele,Femei_18-24
48557,Parscov,Femei_18-24
48682,Podgoria,Femei_18-24
48744,Oras Pogoanele,Femei_18-24
48771,Posta Calnau,Femei_18-24
48842,Puiesti,Femei_25-34
48922,Racoviteni,Femei_35-44
48968,Ramnicelu,Femei_18-24
49019,Robeasca,Femei_18-24
49046,Rusetu,Femei_18-24
49073,Sageata,Barbati_18-24
49153,Sahateni,Femei_18-24
49206,Sapoca,Femei_18-24
49233,Sarulesti,Femei_18-24
49313,Scortoasa,Femei_18-24
49439,Scutelnici,Femei_18-24
49484,Siriu,Femei_18-24
49545,Smeeni,Barbati_18-24
49625,Stalpu,Femei_18-24
49643,Tisau,Barbati_18-24
49769,Topliceni,Femei_18-24
49849,Tintesti,Barbati_18-24
49894,Ulmeni,Femei_18-24
49956,Vadu Pasii,Femei_18-24
50022,Valea Ramnicului,Femei_18-24
50068,Valea Salciei,Barbati_18-24
50102,Vernesti,Femei_18-24
50228,Vintila Voda,Femei_25-34
50326,Viperesti,Femei_18-24
50399,Valcelele,Femei_18-24
50415,Zarnesti,Femei_18-24
50479,Ziduri,Femei_18-24
50549,Unguriu,Femei_18-24
50564,Florica,Barbati_25-34
50790,Municipiul Resita,Femei_18-24
50889,Oras Anina,Femei_18-24
50923,Oras Baile Herculane,Barbati_18-24
50969,Oras Bocsa,Barbati_18-24
50987,Ocna De Fier,Barbati_18-24
51010,Municipiul Caransebes,Femei_18-24
51056,Oras Moldova Noua,Femei_18-24
51118,Oras Oravita,Femei_18-24
51207,Oras Otelu Rosu,Femei_18-24
51243,Armenis,Barbati_18-24
51305,Bania,Femei_18-24
51332,Bautar,Femei_18-24
51387,Berliste,Femei_18-24
51449,Berzasca,Femei_18-24
51500,Berzovia,Femei_18-24
51546,Bolvasnita,Barbati_18-24
51573,Bozovici,Femei_18-24
51626,Brebu,Barbati_18-24
51662,Brebu Nou,Femei_18-24
51699,Buchin,Barbati_18-24
51751,Bucosnita,Femei_18-24
51804,Carasova,Femei_18-24
51840,Carbunari,Femei_18-24
51877,Constantin Daicoviciu,Femei_18-24
51948,Ciclova Romana,Femei_18-24
51984,Ciuchici,Barbati_18-24
52035,Ciudanovita,Barbati_18-24
52062,Copacele,Femei_25-34
52115,Cornea,Femei_25-34
52160,Cornereva,Femei_18-24
52570,Dalboset,Barbati_18-24
52650,Doclin,Femei_18-24
52696,Dognecea,Femei_18-24
52721,Domasnea,Femei_25-34
52758,Ezeris,Femei_18-24
52785,Farliug,Femei_18-24
52856,Forotic,Femei_18-24
52909,Garnic,Femei_18-24
52936,Glimboca,Barbati_18-24
52954,Goruia,Femei_18-24
52990,Gradinari,Femei_18-24
53023,Iablanita,Femei_18-24
53069,Lapusnicel,Femei_18-24
53103,Lapusnicu Mare,Femei_18-24
53130,Luncavita,Femei_18-24
53167,Lupac,Barbati_18-24
53210,Marga,Femei_18-24
53247,Maureni,Femei_18-24
53274,Mehadia,Femei_18-24
53327,Mehadica,Femei_18-24
53345,Naidas,Femei_18-24
53372,Obreja,Femei_18-24
53425,Paltinis,Femei_18-24
53489,Coronini,Femei_18-24
53513,Pojejena,Femei_18-24
53577,Prigor,Femei_18-24
53639,Ramna,Femei_18-24
53675,Racasdia,Barbati_18-24
53700,Eftimie Murgu,Femei_18-24
53728,Rusca Montana,Femei_18-24
53755,Sacu,Barbati_18-24
53791,Sasca Montana,Femei_18-24
53853,Sichevita,Femei_18-24
54056,Slatina-Timis,Barbati_18-24
54109,Socol,Femei_18-24
54163,Sopotu Nou,Femei_18-24
54270,Teregova,Femei_18-24
54305,Ticvaniu Mare,Femei_25-34
54350,Tarnova,Femei_18-24
54387,Toplet,Femei_25-34
54412,Turnu Ruieni,Barbati_18-24
54485,Valiug,Femei_18-24
54500,Varadia,Femei_18-24
54537,Vermes,Barbati_18-24
54573,Vrani,Femei_18-24
54617,Zavoi,Femei_18-24
54699,Zorlentu Mare,Femei_18-24
54975,Municipiul Cluj-Napoca,Barbati_18-24
55008,Municipiul Dej,Femei_18-24
55062,Cuzdrioara,Barbati_18-24
55106,Jichisu De Jos,Barbati_18-24
55160,Mica,Femei_18-24
55259,Municipiul Turda,Femei_18-24
55277,Mihai Viteazu,Femei_18-24
55311,Sandulesti,Femei_18-24
55357,Municipiul Campia Turzii,Barbati_18-24
55384,Municipiul Gherla,Femei_18-24
55446,Oras Huedin,Femei_18-24
55473,Aghiresu,Femei_18-24
55598,Aiton,Femei_18-24
55623,Alunis,Femei_25-34
55687,Apahida,Femei_18-24
55776,Aschileu,Femei_18-24
55838,Baciu,Femei_18-24
55918,Baisoara,Barbati_18-24
56014,Belis,Barbati_18-24
56096,Bobalna,Barbati_25-34
56210,Bontida,Femei_18-24
56265,Borsa,Barbati_18-24
56327,Buza,Femei_25-34
56354,Caianu,Barbati_18-24
56425,Calarasi,Femei_18-24
56461,Calatele,Femei_18-24
56522,Camarasu,Femei_18-24
56568,Capusu Mare,Barbati_18-24
56666,Caseiu,Femei_18-24
56773,Catina,Femei_18-24
56844,Ceanu Mare,Femei_18-24
56988,Chinteni,Barbati_18-24
57083,Chiuiesti,Femei_18-24
57163,Ciucea,Barbati_18-24
57225,Ciurila,Barbati_18-24
57314,Catcau,Femei_18-24
57350,Cojocna,Femei_18-24
57449,Cornesti,Barbati_18-24
57546,Dabaca,Barbati_18-24
57582,Feleacu,Femei_18-24
57644,Fizesu Gherlii,Femei_18-24
57706,Floresti,Barbati_18-24
57742,Frata,Femei_18-24
57831,Geaca,Femei_18-24
57902,Gilau,Femei_18-24
57948,Garbau,Femei_18-24
58008,Iara,Femei_18-24
58142,Iclod,Femei_25-34
58204,Izvoru Crisului,Femei_18-24
58259,Jucu,Femei_18-24
58311,Luna,Femei_18-24
58357,Maguri-Racatau,Femei_65_
58393,Manastireni,Femei_25-34
58464,Margau,Barbati_18-24
58534,Marisel,Femei_18-24
58552,Mintiu Gherlii,Barbati_18-24
58623,Mociu,Femei_18-24
58721,Moldovenesti,Femei_18-24
58794,Palatca,Femei_18-24
58856,Panticeu,Barbati_18-24
58918,Petrestii De Jos,Barbati_18-24
58990,Ploscos,Femei_18-24
59041,Poieni,Femei_18-24
59130,Recea-Cristur,Femei_18-24
59238,Risca,Barbati_18-24
59283,Sacuieu,Femei_18-24
59327,Savadisla,Barbati_18-24
59416,Sic,Femei_18-24
59434,Sancraiu,Femei_18-24
59498,Sanmartin,Femei_18-24
59586,Sanpaul,Femei_18-24
59657,Suatu,Femei_18-24
59693,Tritenii De Jos,Femei_18-24
59764,Tureni,Femei_18-24
59826,Taga,Barbati_18-24
59880,Unguras,Femei_18-24
59942,Vad,Barbati_18-24
60026,Valea Ierii,Barbati_18-24
60062,Viisoara,Femei_18-24
60099,Vultureni,Femei_18-24
60169,Negreni,Femei_18-24
60419,Municipiul Constanta,Femei_18-24
60455,Oras Eforie,Femei_18-24
60482,Municipiul Mangalia,Femei_18-24
60507,Oras Navodari,Femei_18-24
60534,Oras Techirghiol,Femei_18-24
60570,Agigea,Femei_18-24
60598,8/23/2020 0:00,Femei_18-24
60632,Limanu,Barbati_18-24
60687,Oras Ovidiu,Femei_18-24
60721,Tuzla,Barbati_18-24
60776,Oras Cernavoda,Femei_18-24
60801,Oras Harsova,Femei_18-24
60847,Municipiul Medgidia,Femei_18-24
60883,Adamclisi,Femei_18-24
60945,Albesti,Barbati_18-24
61005,Aliman,Femei_18-24
61069,Oras Baneasa,Femei_18-24
61121,Castelu,Femei_18-24
61167,Cerchezu,Femei_18-24
61210,Chirnogeni,Femei_18-24
61256,Ciobanu,Barbati_18-24
61283,Ciocarlia,Barbati_18-24
61318,Cobadin,Barbati_18-24
61372,Cogealac,Femei_18-24
61452,Comana,Femei_18-24
61513,Corbu,Femei_18-24
61559,Crucea,Femei_18-24
61620,Cumpana,Barbati_18-24
61675,Deleni,Femei_18-24
61737,Dobromir,Barbati_18-24
61808,Garliciu,Femei_18-24
61826,Ghindaresti,Femei_18-24
61871,Independenta,Femei_18-24
61951,Ion Corvin,Femei_18-24
62020,Istria,Femei_18-24
62057,Lipnita,Barbati_18-24
62137,Mereni,Barbati_18-24
62191,Mihail Kogalniceanu,Femei_18-24
62253,Mihai Viteazu,Femei_18-24
62280,Mircea Voda,Femei_18-24
62360,Oras Murfatlar,Femei_18-24
62397,Oras Negru Voda,Femei_18-24
62440,Nicolae Balcescu,Femei_18-24
62486,Oltina,Femei_18-24
62538,Ostrov,Femei_18-24
62609,Pantelimon,Femei_18-24
62672,Pecineaga,Barbati_18-24
62707,Pestera,Barbati_18-24
62761,Poarta Alba,Femei_18-24
62798,Rasova,Barbati_18-24
62823,Saraiu,Femei_18-24
62878,Sacele,Barbati_18-24
62903,Seimeni,Barbati_18-24
62949,Silistea,Barbati_18-24
62985,Targusor,Barbati_18-24
63045,Topalu,Femei_18-24
63072,Topraisar,Femei_18-24
63125,Valu Lui Traian,Barbati_18-24
63152,Lumina,Femei_18-24
63161,Dumbraveni,Femei_18-24
63170,Vulturu,Barbati_18-24
63189,Tortoman,Femei_18-24
63198,Amzacea,Femei_18-24
63278,Horia,Barbati_18-24
63286,Costinesti,Femei_18-24
63294,Baraganu,Femei_18-24
63300,Cuza Voda,Barbati_18-24
63318,Saligny,Femei_18-24
63326,Gradina,Femei_18-24
63334,Fantanele,Femei_18-24
63394,Municipiul Sfantu Gheorghe,Femei_18-24
63447,Oras Baraolt,Femei_18-24
63526,Oras Covasna,Femei_18-24
63553,Comandau,Barbati_18-24
63580,Oras Intorsura Buzaului,Femei_18-24
63633,Barcani,Barbati_18-24
63688,Sita Buzaului,Barbati_18-24
63740,Municipiul Targu Secuiesc,Barbati_18-24
63777,Aita Mare,Barbati_18-24
63802,Batani,Femei_18-24
63866,Belin,Femei_18-24
63893,Bodoc,Femei_18-24
63937,Borosneu Mare,Barbati_18-24
64005,Brates,Barbati_18-24
64041,Bradut,Femei_18-24
64096,Bretcu,Femei_18-24
64130,Catalina,Barbati_18-24
64194,Cernat,Barbati_18-24
64238,Chichis,Femei_18-24
64265,Dobarlau,Femei_18-24
64318,Ghelinta,Femei_18-24
64345,Ghidfalau,Femei_18-24
64390,Haghig,Barbati_18-24
64425,Ilieni,Barbati_18-24
64461,Lemnia,Barbati_18-24
64504,Malnas,Barbati_18-24
64568,Moacsa,Barbati_18-24
64602,Ojdula,Barbati_18-24
64639,Ozun,Femei_18-24
64719,Poian,Barbati_18-24
64773,Reci,Femei_18-24
64826,Sanzieni,Femei_18-24
64871,Turia,Barbati_18-24
64906,Valea Crisului,Femei_18-24
64942,Valcele,Femei_18-24
64997,Varghis,Barbati_18-24
65011,Zagon,Barbati_18-24
65048,Zabala,Femei_18-24
65099,Valea Mare,Femei_18-24
65105,Mereni,Barbati_18-24
65113,Arcus,Barbati_18-24
65121,Bixad,Femei_18-24
65139,Micfalau,Barbati_18-24
65147,Dalnic,Barbati_18-24
65154,Estelnic,Femei_18-24
65342,Municipiul Targoviste,Femei_18-24
65379,Aninoasa,Femei_18-24
65413,Doicesti,Femei_18-24
65431,Razvad,Femei_18-24
65477,Sotanga,Barbati_18-24
65501,Ulmi,Femei_18-24
65609,Oras Fieni,Barbati_18-24
65645,Motaieni,Femei_18-24
65681,Oras Gaesti,Barbati_18-24
65707,Gura Foii,Femei_18-24
65752,Petresti,Barbati_18-24
65841,Municipiul Moreni,Femei_18-24
65869,Iedera,Femei_18-24
65921,Oras Pucioasa,Barbati_18-24
66009,Branesti,Barbati_18-24
66081,Oras Titu,Femei_18-24
66152,Branistea,Barbati_18-24
66198,Baleni,Femei_18-24
66223,Barbuletu,Femei_18-24
66330,Bezdead,Femei_18-24
66401,Bilciuresti,Femei_18-24
66438,Buciumeni,Barbati_18-24
66474,Bucsani,Femei_18-24
66526,Candesti,Barbati_18-24
66580,Cobia,Femei_18-24
66697,Cojasca,Barbati_65_
66731,Comisani,Barbati_18-24
66768,Contesti,Femei_18-24
66857,Corbii Mari,Femei_18-24
66955,Cornatelu,Femei_18-24
67014,Cornesti,Femei_18-24
67121,Costestii Din Vale,Femei_18-24
67167,Crangurile,Femei_18-24
67256,Darmanesti,Femei_18-24
67292,Dobra,Barbati_18-24
67327,Dragodana,Femei_18-24
67407,Dragomiresti,Femei_18-24
67470,Finta,Femei_18-24
67522,Glodeni,Femei_18-24
67595,Gura Ocnitei,Femei_18-24
67648,Gura Sutii,Femei_18-24
67675,Hulubesti,Femei_18-24
67737,I. L. Caragiale,Femei_18-24
67773,Lucieni,Femei_18-24
67835,Ludesti,Femei_18-24
67906,Lunguletu,Femei_18-24
67942,Malu Cu Flori,Barbati_18-24
68002,Manesti,Femei_18-24
68048,Matasaru,Femei_18-24
68128,Mogosani,Femei_18-24
68182,Moroeni,Femei_18-24
68253,Morteni,Femei_18-24
68280,Nucet,Femei_18-24
68324,Ocnita,Barbati_18-24
68342,Odobesti,Femei_18-24
68404,Pietrosita,Femei_18-24
68431,Poiana,Barbati_18-24
68468,Potlogi,Femei_18-24
68529,Produlesti,Femei_18-24
68565,Pucheni,Barbati_25-34
68627,Oras Racari,Barbati_18-24
68716,Runcu,Femei_18-24
68789,Salcioara,Femei_18-24
68887,Selaru,Femei_18-24
68921,Tatarani,Femei_18-24
68976,Uliesti,Femei_18-24
69063,Valea Lunga,Femei_18-24
69170,Valea Mare,Femei_18-24
69250,Vacaresti,Femei_18-24
69303,Valeni-Dambovita,Barbati_18-24
69330,Visina,Femei_18-24
69394,Visinesti,Barbati_18-24
69447,Varfuri,Femei_18-24
69526,Voinesti,Femei_18-24
69615,Vulcana-Bai,Barbati_18-24
69900,Municipiul Craiova,Femei_18-24
69964,Bucovat,Barbati_18-24
70094,Isalnita,Femei_18-24
70110,Podari,Femei_18-24
70174,Simnicu De Sus,Femei_18-24
70316,Municipiul Bailesti,Femei_18-24
70352,Municipiul Calafat,Femei_18-24
70414,Oras Filiasi,Femei_18-24
70502,Oras Segarcea,Femei_18-24
70520,Afumati,Femei_18-24
70566,Almaj,Femei_18-24
70637,Amarastii De Jos,Barbati_18-24
70673,Amarastii De Sus,Femei_18-24
70726,Apele Vii,Femei_18-24
70744,Argetoaia,Femei_18-24
70879,Oras Bechet,Barbati_18-24
70897,Bistret,Femei_18-24
70940,Barca,Femei_18-24
70968,Botosesti-Paia,Barbati_18-24
70986,Brabova,Femei_18-24
71055,Bradesti,Femei_18-24
71126,Bralostita,Femei_18-24
71199,Bratovoesti,Femei_18-24
71260,Breasta,Barbati_18-24
71340,Bulzesti,Femei_18-24
71457,Calopar,Femei_18-24
71518,Caraula,Femei_18-24
71536,Carpen,Femei_18-24
71572,Castranova,Femei_18-24
71607,Calarasi,Femei_18-24
71634,Celaru,Femei_18-24
71698,Cerat,Femei_18-24
71723,Cernatesti,Femei_18-24
71787,Cetate,Barbati_18-24
71812,Cioroiasi,Femei_18-24
71858,Ciupercenii Noi,Femei_18-24
71885,Cosoveni,Femei_18-24
71910,Cotofenii Din Dos,Barbati_18-24
71956,Daneti,Femei_18-24
72007,Oras Dabuleni,Femei_18-24
72034,Desa,Femei_18-24
72052,Diosti,Femei_18-24
72098,Dobresti,Femei_18-24
72150,Dragotesti,Barbati_18-24
72221,Dranic,Femei_18-24
72276,Farcas,Barbati_18-24
72383,Galicea Mare,Femei_18-24
72409,Ghercesti,Femei_18-24
72463,Gighera,Femei_18-24
72506,Giubega,Femei_18-24
72533,Giurgita,Femei_18-24
72579,Gangiova,Femei_18-24
72604,Gogosu,Femei_25-34
72640,Goicea,Femei_18-24
72677,Goiesti,Femei_18-24
72819,Grecesti,Femei_18-24
72882,Izvoare,Femei_18-24
72926,Leu,Femei_18-24
72953,Lipovu,Femei_18-24
72980,Macesu De Jos,Femei_18-24
73013,Macesu De Sus,Barbati_18-24
73031,Maglavit,Femei_18-24
73068,Malu Mare,Barbati_18-24
73102,Melinesti,Femei_18-24
73246,Mischii,Femei_18-24
73317,Marsani,Barbati_18-24
73335,Motatei,Femei_18-24
73371,Murgasi,Femei_18-24
73460,Negoi,Femei_18-24
73503,Orodel,Femei_18-24
73567,Ostroveni,Femei_18-24
73594,Perisor,Barbati_18-24
73629,Pielesti,Femei_18-24
73665,Piscu Vechi,Femei_18-24
73709,Plenita,Femei_18-24
73736,Poiana Mare,Femei_18-24
73772,Predesti,Femei_18-24
73852,Radovan,Femei_18-24
73905,Rast,Femei_18-24
73923,Robanesti,Femei_18-24
73996,Sadova,Femei_18-24
74028,Salcuta,Femei_18-24
74073,Scaesti,Barbati_18-24
74108,Seaca De Camp,Femei_18-24
74135,Seaca De Padure,Femei_18-24
74171,Secu,Femei_18-24
74224,Silistea Crucii,Femei_18-24
74242,Sopot,Femei_18-24
74322,Teasc,Femei_18-24
74359,Terpezita,Femei_18-24
74411,Teslui,Femei_18-24
74509,Tuglui,Barbati_18-24
74536,Unirea,Femei_18-24
74554,Urzicuta,Femei_18-24
74581,Valea Stanciului,Femei_18-24
74616,Vela,Femei_18-24
74705,Verbita,Femei_18-24
74732,Vartop,Femei_18-24
74750,Varvoru De Jos,Femei_18-24
74842,Catane,Femei_18-24
74859,Carcea,Femei_18-24
74867,Carna,Femei_18-24
74875,Cotofenii Din Fata,Femei_18-24
74883,Dobrotesti,Femei_25-34
74891,Galiciuica,Barbati_18-24
74907,Ghidici,Barbati_18-24
74915,Ghindeni,Femei_18-24
74923,Intorsura,Femei_18-24
74931,Plesoi,Barbati_18-24
74949,Rojiste,Femei_18-24
74956,Talpas,Barbati_18-24
75098,Municipiul Galati,Femei_18-24
75114,Sendreni,Barbati_18-24
75150,Vanatori,Femei_18-24
75203,Municipiul Tecuci,Femei_18-24
75221,Draganesti,Femei_18-24
75258,Munteni,Femei_18-24
75338,Oras Beresti,Barbati_18-24
75356,Beresti-Meria,Barbati_18-24
75472,Oras Targu Bujor,Femei_18-24
75515,Barcea,Barbati_18-24
75542,Balabanesti,Femei_25-34
75613,Balasesti,Femei_25-34
75668,Baleni,Femei_18-24
75686,Baneasa,Femei_18-24
75711,Branistea,Barbati_18-24
75766,Brahasesti,Femei_18-24
75819,Buciumeni,Femei_18-24
75864,Cavadinesti,Barbati_18-24
75917,Certesti,Femei_18-24
75953,Corod,Femei_18-24
76004,Corni,Femei_18-24
76040,Cosmesti,Femei_18-24
76111,Costache Negri,Femei_18-24
76139,Cuca,Barbati_18-24
76157,Cudalbi,Femei_25-34
76175,Draguseni,Femei_18-24
76255,Fartanesti,Femei_18-24
76282,Foltesti,Femei_18-24
76317,Frumusita,Femei_18-24
76353,Fundeni,Femei_18-24
76406,Ghidigeni,Barbati_18-24
76497,Gohor,Femei_18-24
76558,Grivita,Femei_18-24
76585,Independenta,Femei_18-24
76601,Ivesti,Femei_18-24
76638,Jorasti,Barbati_18-24
76674,Liesti,Femei_18-24
76692,Matca,Barbati_18-24
76718,Mastacani,Femei_18-24
76745,Movileni,Barbati_18-24
76763,Namoloasa,Femei_18-24
76807,Nicoresti,Femei_18-24
76932,Oancea,Barbati_18-24
76969,Pechea,Femei_18-24
76996,Piscu,Barbati_18-24
77028,Priponesti,Barbati_18-24
77082,Rediu,Barbati_18-24
77126,Scanteiesti,Barbati_18-24
77153,Schela,Femei_18-24
77180,Slobozia Conachi,Femei_18-24
77224,Smardan,Barbati_18-24
77260,Smulti,Barbati_18-24
77288,Suceveni,Femei_18-24
77313,Tudor Vladimirescu,Femei_18-24
77331,Tulucesti,Femei_18-24
77377,Tepu,Femei_18-24
77402,Umbraresti,Barbati_18-24
77475,Valea Marului,Femei_18-24
77509,Varlezi,Femei_18-24
77536,Vladesti,Barbati_18-24
77561,Radesti,Barbati_18-24
77579,Negrilesti,Barbati_18-24
77587,Poiana,Femei_25-34
77595,Cuza Voda,Femei_18-24
77601,Suhurlui,Femei_18-24
77812,Municipiul Targu Jiu,Femei_18-24
77910,Balesti,Femei_18-24
78016,Dragutesti,Femei_25-34
78089,Turcinesti,Femei_18-24
